ID,Section,Lab-01,Lab-02,Lab-03,Lab-04,Lab-05,Lab-06,Lab-07,Lab-08,Lab-09 (17.5),Lab-10,Best 8,Normalize,Compre quiz(60),Total,Total
2022B1PS1107P,P13N,17.5,17.5,16.5,15.5,16.5,15,17,17.5,0,17.5,135.5,135.9856631,35,170.985663,171
2022B2PS1033P,P13N,17.5,17.5,16.5,17.5,17.5,15.5,17.5,17.5,5.5,16.5,138,138.4946237,26,164.494624,165
2022B2PS1109P,P13N,17,16.5,16.5,17.5,17.5,15.5,17.5,5.5,5.5,0,123.5,123.9426523,14,137.942652,138
2022B2PS1146P,P13N,17,16.5,15,0,17,0,17.5,17.5,14,16.5,131,131.4695341,27.5,158.969534,159
2022B2PS1683P,P13N,17,16.5,15.5,17.5,17,15.5,17.5,17.5,5.5,17.5,136,136.4874552,24,160.487455,161
2022B3PS0319P,P13N,17.5,17.5,16.5,16.5,0,15,0,17.5,12.5,16.5,129.5,129.9641577,34,163.964158,164
2022B3PS0477P,P13N,16.5,16,0,17.5,17.5,15.5,17.5,17.5,16.5,16.5,135.5,135.9856631,28.5,164.485663,165
2022B3PS0549P,P13N,17.5,15.5,16,17.5,11.5,15.5,0,17.5,5.5,17.5,128.5,128.9605735,40.5,169.460573,170
2022B3PS0562P,P13N,17,17.5,16.5,15.5,14.5,15.5,17.5,17.5,5.5,17.5,134.5,134.9820789,33.5,168.482079,169
2022B3PS0597P,P13N,16.5,17.5,16.5,17.5,17.5,15.5,0,17.5,16,16.5,135.5,135.9856631,35.5,171.485663,172
2022B3PS0604P,P13N,16.5,16.5,16.5,17.5,0,15.5,17.5,17.5,0,16.5,134,134.4802867,20,154.480287,155
2022B3TS1511P,P13N,17.5,17,17.5,12.5,17,17.5,17.5,5.5,16.5,15.5,136,136.4874552,35.5,171.987455,172
2022B3TS1512P,P13N,5.5,0,17.5,17.5,17.5,17.5,16.5,15,16.5,15.5,133.5,133.9784946,15,148.978495,149
2022B4PS0658P,P13N,17.5,16.5,16.5,0,16,17.5,17.5,12.5,16.5,0,130.5,130.9677419,42.5,173.467742,174
2022B4PS0711P,P13N,16.5,16.5,17.5,11.5,16.5,17.5,17.5,5.5,16.5,15.5,134,134.4802867,30,164.480287,165
2022B4PS0750P,P13N,17.5,17.5,17.5,17.5,17.5,17.5,0,16,16.5,15.5,137.5,137.9928315,38.5,176.492832,177
2022B4PS1005P,P13N,16.5,0,17.5,11.5,17.5,17.5,0,12.5,16.5,15,124.5,124.9462366,31.5,156.446237,157
2022B4PS1082P,P13N,16.5,16,16.5,16,14.5,16.5,12,17.5,5.5,0,125.5,125.9498208,30,155.949821,156
2022B4PS1300P,P13N,17.5,17,17.5,17.5,14.5,17.5,17.5,16,16.5,15.5,137,137.4910394,31,168.491039,169
2022B5PS0688P,P13N,17.5,16.5,17.5,17.5,15.5,17.5,16.5,0,14.5,5.5,133,133.4767025,38,171.476703,172
2022B5PS0691P,P13N,16.5,16.5,17.5,17.5,17.5,17.5,0,8,16.5,17.5,137,137.4910394,37.5,174.991039,175
2022B5PS0814P,P13N,17.5,16.5,17.5,12,16,17.5,17.5,5.5,16.5,17.5,136.5,136.9892473,38,174.989247,175
2022B5PS1086P,P13N,17.5,17.5,16.5,16,15.5,0,15.5,17.5,17,0,133,133.4767025,36,169.476703,170
