ID NO,"Eval (Best6) (50)","Midsem(70)","Pre-compre(120)"
2022A1PS1568P,49.4,50.5,99.9
2022A1PS1631P,5.6,9,14.6
2022A1PS1730P,0.0,17,17.0
P11N,,,
2022A3PS0022P,29.2,39.5,68.7
2022A3PS0023P,43.9,54.5,98.4
2022A7PS0076P,46.1,35.5,81.6
2022A7PS0120P,46.4,22.5,68.9
2022A7PS0124P,49.7,47,96.7
2022A7PS0174P,49.4,51,100.4
2022A7PS0182P,45.0,42,87.0
2022AAPS0235P,0.0,24.5,24.5
2022A3PS0377P,37.8,26,63.8
2022A3PS0479P,46.1,27.5,73.6
2022A8PS0511P,0.0,3,3.0
2022A1PS0530P,38.9,21.5,60.4
2022A3PS0538P,24.4,26,50.4
2022A4PS0546P,37.2,36,73.2
2022A8PS0590P,40.6,28.5,69.1
2022A8PS0619P,50.0,27,77.0
2022A4PS0624P,48.6,30,78.6
2022A4PS0640P,48.3,28.5,76.8
2022A1PS0643P,49.2,25.5,74.7
2022A4PS0684P,43.3,29,72.3
2022A4PS0719P,37.5,31.5,69.0
2022A4PS0723P,45.3,33.5,78.8
2022A4PS0871P,22.2,10,32.2
2022A1PS0883P,43.1,13.5,56.6
2022A4PS0921P,47.5,36,83.5
2022A4PS0953P,28.1,12,40.1
2022A1PS1056P,20.0,12,32.0
2022A7PS1175P,41.1,35.5,76.6
2022A7PS1183P,38.9,9,47.9
2022A7PS1187P,49.7,47,96.7
2022A3PS1207P,46.9,48.5,95.4
2022A3PS1224P,40.3,26.5,66.8
2022A8PS1225P,47.8,44.5,92.3
2022A3PS1231P,50.0,39,89.0
2022A3PS1233P,47.8,19,66.8
2022A8PS1239P,40.6,31,71.6
2022A8PS1245P,48.9,48,96.9
2022A8PS1249P,46.7,39.5,86.2
2022A4PS1272P,48.9,41.5,90.4
2022A4PS1278P,48.3,33.5,81.8
2022A4PS1301P,47.2,43,90.2
2022A1PS1598P,22.8,15,37.8
2022A8PS1719P,49.7,36.5,86.2
2022A1PS0992P,38.1,51,89.1
P12N,0.0,,
2022A7PS0054P,45.0,42,87.0
2022A7PS0081P,48.9,27,75.9
2022A7PS0082P,48.3,51,99.3
2022A7PS0109P,44.4,23.5,67.9
2022A7PS0158P,48.3,30,78.3
2022A7PS0184P,31.7,34,65.7
2022AAPS0249P,48.6,25,73.6
2022AAPS0250P,47.8,29,76.8
2022A4PS0254P,31.4,22,53.4
2022A3PS0380P,48.9,31,79.9
2022A3PS0399P,46.1,19.5,65.6
2022A8PS0408P,48.9,42,90.9
2022A3PS0410P,46.1,41,87.1
2022A3PS0450P,48.9,41.5,90.4
2022A3PS0454P,48.3,51,99.3
2022A3PS0458P,50.0,48,98.0
2022A4PS0703P,46.7,54,100.7
2022A4PS0843P,49.4,37.5,86.9
2022A4PS0855P,33.3,30,63.3
2022A1PS0984P,45.6,35,80.6
2022A7PS1174P,50.0,54,104.0
2022A7PS1182P,48.9,20.5,69.4
2022A7PS1186P,49.7,39,88.7
2022A3PS1230P,45.0,22.5,67.5
2022A8PS1238P,47.2,55,102.2
2022A8PS1253P,45.0,6,51.0
2022A4PS1291P,49.4,38.5,87.9
2022A1PS1353P,47.5,8,55.5
P13N,,,
2022A4PS0015P,50.0,37,87.0
2022A4PS0026P,50.0,34,84.0
2022A3PS0027P,50.0,66,116.0
2022A7PS0031P,49.4,41,90.4
2022A7PS0041P,31.7,31.5,63.2
2022A7PS0115P,50.0,52.5,102.5
2022A7PS0138P,50.0,47.5,97.5
2022A7PS0159P,50.0,41.5,91.5
2022A7PS0171P,40.8,21,61.8
2022A7PS0172P,50.0,60.5,110.5
2022A7PS0175P,50.0,37,87.0
2022A7PS0187P,49.4,64.5,113.9
2022A3PS0221P,50.0,62,112.0
2022AAPS0244P,50.0,31.5,81.5
2022A3PS0376P,38.3,20,58.3
2022A4PS0449P,49.7,38.5,88.2
2022A3PS0473P,48.3,41.5,89.8
2022A8PS0540P,49.4,53.5,102.9
2022A8PS0566P,50.0,52,102.0
2022A1PS0593P,50.0,32,82.0
2022A8PS0595P,43.9,18,61.9
2022A4PS0673P,45.3,29,74.3
2022A4PS0675P,47.8,41.5,89.3
2022A4PS0902P,49.4,31.5,80.9
2022A1PS1057P,40.0,64.5,104.5
2022A7PS1170P,46.9,35,81.9
2022A7PS1171P,47.8,34.5,82.3
2022A7PS1185P,48.9,44,92.9
2022A3PS1196P,45.6,23.5,69.1
2022A3PS1198P,47.2,50,97.2
2022A3PS1204P,48.9,37,85.9
2022A8PS1235P,49.7,54.5,104.2
2022A8PS1236P,46.4,29,75.4
2022A8PS1241P,36.7,25,61.7
2022A4PS1365P,43.3,27,70.3
2022A1PS1578P,48.1,36.5,84.6
2022A1PS1729P,49.7,21.5,71.2
2022A8PS1732P,50.0,54.5,104.5
2022A3PS1734P,49.4,25,74.4
2022A4PS0969P,38.6,41.5,80.1
P14N,,,
2021B5TS2070P,27.5,24,51.5
2022A7PS0044P,31.9,11,42.9
2022A7PS0051P,14.7,11.5,26.2
2022AAPS0211P,37.8,39,76.8
2022AAPS0222P,49.7,32,81.7
2022A4PS0223P,31.7,20,51.7
2022AAPS0241P,47.8,36.5,84.3
2022AAPS0331P,48.1,60,108.1
2022A3PS0457P,32.2,38.5,70.7
2022A3PS0492P,48.1,59.5,107.6
2022A4PS0543P,46.4,52.5,98.9
2022A4PS0617P,35.8,29,64.8
2022A4PS0868P,48.3,48,96.3
2022A4PS0895P,43.9,33,76.9
2022A1PS0900P,40.8,22.5,63.3
2022A4PS0941P,49.7,36.5,86.2
2022A4PS0955P,39.4,9,48.4
2022A7PS1169P,43.3,16,59.3
2022A7PS1177P,49.2,36.5,85.7
2022A3PS1195P,46.7,20,66.7
2022A3PS1197P,42.2,20,62.2
2022A3PS1216P,46.7,53.5,100.2
2022A1PS1328P,49.4,22,71.4
2022A4PS1563P,49.7,55,104.7
2022A1PS1573P,39.7,22,61.7
